ID,Interval,Transfer,Bandwidth
0,1.0000,0.103515625,0.8486328125
0,2.0000,0.359375,3.02
0,3.0000,0.9326171875,7.83
0,4.0000,2.74,23.0
0,5.0000,2.42,20.3
0,6.0000,1.67,14.0
0,7.0000,3.36,28.2
0,8.0000,3.36,28.2
0,9.0000,2.29,19.2
0,10.0000,4.75,39.8
0,11.0000,3.8,31.9
0,12.0000,2.5,21.0
0,13.0000,5.0,41.9
0,14.0000,3.75,31.5
0,15.0000,3.62,30.4
0,16.0000,5.0,41.9
0,17.0000,2.88,24.1
0,18.0000,6.63,55.6
0,19.0000,3.56,29.9
0,20.0000,6.06,50.8
0,21.0000,6.7,56.2
0,22.0000,4.57,38.3
0,23.0000,4.57,38.3
0,24.0000,6.85,57.5
0,25.0000,6.84,57.4
0,26.0000,4.62,38.8
0,26.9350,1.04,9.32
0,26.9350,100.0,31.1
1,1.0000,0.103515625,0.8486328125
1,2.0000,0.359375,3.02
1,3.0000,0.9326171875,7.83
1,4.0000,2.74,23.0
1,5.0000,2.42,20.3
1,6.0000,1.67,14.0
1,7.0000,3.36,28.2
1,8.0000,3.36,28.2
1,9.0000,2.29,19.2
1,10.0000,4.82,40.4
1,11.0000,3.72,31.2
1,12.0000,2.5,21.0
1,13.0000,5.0,41.9
1,14.0000,3.75,31.5
1,15.0000,3.62,30.4
1,16.0000,5.0,41.9
1,17.0000,2.88,24.1
1,18.0000,6.65,55.8
1,19.0000,3.52,29.5
1,20.0000,5.92,49.7
1,21.0000,6.76,56.7
1,22.0000,4.53,38.0
1,23.0000,6.75,56.6
1,24.0000,4.42,37.1
1,25.0000,6.79,57.0
1,26.0000,3.59,30.1
1,27.0263,2.53,20.7
1,27.0263,100.0,31.0
2,1.0000,0.103515625,0.8486328125
2,2.0000,0.484375,4.07
2,3.0000,0.8076171875,6.78
2,4.0000,2.74,23.0
2,5.0000,2.42,20.3
2,6.0000,1.74,14.6
2,7.0000,3.3,27.7
2,8.0000,3.3,27.7
2,9.0000,2.23,18.7
2,10.0000,4.95,41.5
2,11.0000,3.77,31.6
2,12.0000,2.47,20.7
2,13.0000,5.0,41.9
2,14.0000,3.75,31.5
2,15.0000,3.62,30.4
2,16.0000,5.0,41.9
2,17.0000,2.76,23.2
2,18.0000,6.39,53.6
2,19.0000,3.52,29.5
2,20.0000,5.86,49.1
2,21.0000,6.57,55.2
2,22.0000,4.62,38.7
2,23.0000,6.85,57.5
2,24.0000,4.57,38.3
2,25.0000,6.81,57.1
2,26.0000,4.54,38.1
2,26.9227,1.81,16.5
2,26.9227,100.0,31.2
3,1.0000,0.103515625,0.8486328125
3,2.0000,0.484375,4.07
3,3.0000,0.8076171875,6.78
3,4.0000,2.74,23.0
3,5.0000,2.42,20.3
3,6.0000,1.67,14.0
3,7.0000,3.36,28.2
3,8.0000,3.36,28.2
3,9.0000,2.29,19.2
3,10.0000,4.81,40.4
3,11.0000,3.72,31.2
3,12.0000,2.5,21.0
3,13.0000,5.0,41.9
3,14.0000,3.75,31.5
3,15.0000,3.62,30.4
3,16.0000,5.0,41.9
3,17.0000,2.88,24.1
3,18.0000,6.65,55.7
3,19.0000,3.65,30.6
3,20.0000,5.93,49.8
3,21.0000,6.75,56.6
3,22.0000,4.51,37.8
3,23.0000,4.55,38.2
3,24.0000,6.88,57.7
3,25.0000,6.83,57.3
3,26.0000,4.59,38.5
3,26.9389,1.13,10.1
3,26.9389,100.0,31.1
4,1.0000,0.103515625,0.8486328125
4,2.0000,0.359375,3.02
4,3.0000,0.9326171875,7.83
4,4.0000,2.74,23.0
4,5.0000,2.42,20.3
4,6.0000,1.73,14.6
4,7.0000,3.3,27.7
4,8.0000,3.3,27.7
4,9.0000,2.23,18.7
4,10.0000,4.82,40.4
4,11.0000,3.85,32.3
4,12.0000,2.45,20.6
4,13.0000,5.0,41.9
4,14.0000,3.75,31.5
4,15.0000,3.62,30.4
4,16.0000,5.0,41.9
4,17.0000,2.76,23.1
4,18.0000,6.27,52.6
4,19.0000,3.62,30.4
4,20.0000,5.77,48.4
4,21.0000,6.7,56.2
4,22.0000,4.5,37.8
4,23.0000,6.93,58.2
4,24.0000,4.62,38.8
