ID,Interval,Num_Fluxos,Bandwidth_Total,Fluxos_Detalhes
0,0.0000-1.0000,4,147.7,Fluxo 1: 32.500 Mbits/s; Fluxo 2: 39.800 Mbits/s; Fluxo 3: 37.700 Mbits/s; Fluxo 4: 37.700 Mbits/s
0,1.0000-2.0000,4,105.9,Fluxo 1: 27.300 Mbits/s; Fluxo 2: 19.900 Mbits/s; Fluxo 3: 28.300 Mbits/s; Fluxo 4: 30.400 Mbits/s
0,2.0000-3.0000,4,99.5,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 30.800 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 22.500 Mbits/s
0,3.0000-4.0000,4,93.2,Fluxo 1: 31.100 Mbits/s; Fluxo 2: 22.000 Mbits/s; Fluxo 3: 20.800 Mbits/s; Fluxo 4: 19.300 Mbits/s
0,4.0000-5.0000,4,83.19999999999999,Fluxo 1: 17.700 Mbits/s; Fluxo 2: 18.700 Mbits/s; Fluxo 3: 24.400 Mbits/s; Fluxo 4: 22.400 Mbits/s
0,5.0000-6.0000,4,100.4,Fluxo 1: 22.000 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 27.700 Mbits/s; Fluxo 4: 29.300 Mbits/s
0,6.0000-7.0000,4,86.0,Fluxo 1: 21.400 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 21.800 Mbits/s
0,7.0000-8.0000,4,89.9,Fluxo 1: 21.900 Mbits/s; Fluxo 2: 21.800 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 23.100 Mbits/s
0,8.0000-9.0000,4,84.6,Fluxo 1: 21.300 Mbits/s; Fluxo 2: 21.900 Mbits/s; Fluxo 3: 20.700 Mbits/s; Fluxo 4: 20.700 Mbits/s
0,9.0000-10.0000,4,100.5,Fluxo 1: 21.400 Mbits/s; Fluxo 2: 21.400 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 34.600 Mbits/s
0,10.0000-11.0000,4,87.0,Fluxo 1: 21.800 Mbits/s; Fluxo 2: 21.800 Mbits/s; Fluxo 3: 21.200 Mbits/s; Fluxo 4: 22.200 Mbits/s
0,11.0000-12.0000,4,86.8,Fluxo 1: 22.000 Mbits/s; Fluxo 2: 22.000 Mbits/s; Fluxo 3: 21.400 Mbits/s; Fluxo 4: 21.400 Mbits/s
0,12.0000-13.0000,4,92.4,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 23.100 Mbits/s; Fluxo 3: 23.100 Mbits/s; Fluxo 4: 23.100 Mbits/s
0,13.0000-14.0000,4,83.5,Fluxo 1: 19.600 Mbits/s; Fluxo 2: 19.600 Mbits/s; Fluxo 3: 21.200 Mbits/s; Fluxo 4: 23.100 Mbits/s
0,14.0000-15.0000,4,101.7,Fluxo 1: 23.100 Mbits/s; Fluxo 2: 34.600 Mbits/s; Fluxo 3: 23.000 Mbits/s; Fluxo 4: 21.000 Mbits/s
