Execution,Interval,Total Transfer,Average Bandwidth
0,1.0000,0.42,0.85
0,2.0000,1.81,3.81
0,3.0000,3.36,7.04
0,4.0000,6.46,13.55
0,5.0000,4.29,8.97
0,6.0000,4.79,10.04
0,7.0000,3.42,7.16
0,8.0000,5.61,11.78
0,9.0000,5.39,11.32
0,10.0000,5.30,11.07
0,11.0000,5.98,12.53
0,12.0000,5.71,11.98
0,13.0000,6.40,13.43
0,14.0000,8.59,18.02
0,15.0000,5.71,11.97
0,16.0000,11.76,24.67
0,17.0000,10.78,22.60
0,18.0000,9.66,20.25
0,19.0000,9.31,19.55
0,20.0000,5.21,10.91
0,21.0000,15.08,31.65
0,22.0000,10.80,22.65
0,23.0000,10.25,21.48
0,24.0000,11.00,23.07
0,25.0000,7.11,14.93
0,26.0000,12.66,26.57
0,27.0000,10.10,21.20
0,28.0000,10.40,21.83
0,29.0000,10.37,21.72
0,30.0000,9.40,19.73
0,31.0000,11.81,24.77
0,32.0000,9.94,20.86
0,33.0000,10.89,22.85
0,34.0000,11.01,23.07
0,35.0000,11.11,23.32
0,36.0000,10.84,22.72
0,37.0000,9.99,20.96
0,38.0000,10.59,22.23
0,39.0000,7.75,21.63
0,39.7276,3.16,15.40
0,40.0000,8.61,24.07
0,41.0000,10.00,28.00
0,42.0000,6.78,18.97
0,43.0000,6.59,27.65
0,43.8128,4.32,20.00
0,44.0000,5.73,24.05
0,44.7148,0.28,3.34
0,45.0000,3.42,28.70
0,46.0000,3.73,31.30
0,47.0000,3.71,31.10
0,48.0000,3.88,32.50
0,49.0000,3.62,30.40
0,50.0000,5.81,48.70
0,51.0000,3.52,29.50
0,52.6163,5.78,30.00
1,1.0000,0.42,0.85
1,2.0000,1.69,3.54
1,3.0000,3.48,7.30
1,4.0000,6.46,13.55
1,5.0000,4.29,8.97
1,6.0000,4.79,10.04
1,7.0000,3.48,7.29
1,8.0000,5.54,11.62
1,9.0000,5.53,11.59
1,10.0000,5.10,10.70
1,11.0000,6.04,12.68
1,12.0000,5.52,11.57
1,13.0000,5.54,11.61
1,14.0000,8.71,18.27
1,15.0000,6.22,13.04
1,16.0000,10.46,21.95
1,17.0000,11.94,25.05
1,18.0000,9.99,20.98
1,19.0000,9.20,19.27
1,20.0000,6.56,13.75
1,21.0000,16.95,35.58
1,22.0000,8.93,18.73
1,23.0000,11.86,24.90
1,24.0000,9.32,19.57
1,25.0000,12.69,26.62
1,26.0000,10.28,21.57
1,27.0000,11.51,24.15
1,28.0000,9.02,18.90
1,29.0000,11.90,24.95
1,30.0000,11.51,24.15
1,31.0000,9.38,19.68
1,32.0000,11.79,24.73
1,33.0000,10.54,22.12
1,34.0000,9.43,19.80
1,35.0000,11.69,24.52
1,36.0000,10.52,22.07
1,37.0000,11.01,23.10
1,38.0000,6.72,18.80
1,38.6779,2.83,14.10
1,39.0000,8.42,23.57
1,40.0000,7.88,22.03
1,41.0000,6.68,28.00
1,41.5485,3.81,20.70
1,42.0000,3.67,15.41
1,43.0000,7.12,29.85
1,44.0000,5.11,21.45
1,45.0000,5.49,23.05
1,46.0000,7.11,29.80
1,47.0000,0.99,8.33
1,47.4554,4.45,25.60
1,48.0000,2.18,18.30
1,49.0000,1.05,8.82
1,50.0000,2.12,17.80
1,51.0000,2.17,18.20
1,52.0000,1.17,9.86
1,53.0000,2.31,19.30
1,54.0000,2.55,21.40
1,55.0000,1.61,13.50
1,56.0000,2.92,24.50
1,57.7513,2.32,11.10
2,1.0000,0.42,0.85
2,2.0000,1.43,3.01
2,3.0000,3.73,7.83
2,4.0000,6.46,13.55
2,5.0000,5.60,11.72
2,6.0000,3.52,7.39
2,7.0000,6.84,14.36
2,8.0000,7.34,15.40
2,9.0000,4.28,8.96
2,10.0000,9.62,20.18
2,11.0000,7.86,16.48
2,12.0000,5.99,12.56
2,13.0000,8.17,17.15
2,14.0000,7.35,15.41
2,15.0000,8.86,18.60
2,16.0000,11.40,23.90
2,17.0000,9.53,19.98
2,18.0000,11.34,23.77
2,19.0000,8.96,18.80
2,20.0000,6.47,13.57
2,21.0000,16.18,33.92
2,22.0000,10.75,22.52
2,23.0000,9.61,20.15
2,24.0000,11.83,24.82
2,25.0000,9.59,20.12
2,26.0000,13.14,27.55
2,27.0000,10.31,21.62
2,28.0000,9.58,20.10
2,29.0000,11.43,23.98
2,30.0000,10.67,22.39
2,31.0000,5.98,16.72
2,31.1263,2.67,19.90
2,32.0000,9.06,25.30
2,33.0000,6.66,18.63
2,34.0000,9.18,25.70
2,35.0000,8.26,23.10
2,36.0000,9.40,26.30
2,37.0000,9.72,27.20
2,38.0000,7.04,19.70
2,39.0000,8.72,24.40
2,40.0000,9.51,26.60
2,40.9717,2.12,18.30
2,41.0000,6.41,26.90
2,42.0000,7.80,32.70
2,43.0000,5.30,22.25
2,44.0000,6.49,27.20
2,45.0000,6.32,26.50
2,46.0000,9.89,41.50
2,47.0000,1.62,13.60
2,47.2104,2.56,17.70
2,48.0000,3.98,33.40
2,49.0000,1.95,16.40
2,50.0000,3.94,33.10
2,51.0000,3.75,31.40
2,52.3260,3.41,21.60
3,1.0000,0.42,0.85
3,2.0000,1.44,3.02
3,3.0000,3.73,7.83
3,4.0000,6.46,13.55
3,5.0000,4.29,8.97
3,6.0000,4.79,10.04
3,7.0000,3.54,7.44
3,8.0000,5.48,11.50
3,9.0000,5.39,11.32
3,10.0000,5.30,11.07
3,11.0000,5.98,12.53
3,12.0000,5.65,11.86
3,13.0000,6.54,13.71
3,14.0000,8.47,17.75
3,15.0000,5.65,11.86
3,16.0000,11.59,24.30
3,17.0000,9.55,20.00
3,18.0000,11.23,23.57
3,19.0000,8.13,17.05
3,20.0000,5.91,12.39
3,21.0000,15.72,33.00
3,22.0000,7.55,15.84
3,23.0000,11.07,23.23
3,24.0000,11.72,24.57
3,25.0000,11.63,24.40
3,26.0000,10.55,22.18
3,27.0000,10.23,21.48
3,28.0000,10.14,21.27
3,29.0000,10.81,22.68
3,30.0000,11.46,24.02
3,31.0000,10.53,22.10
3,32.0000,10.68,22.40
3,33.0000,10.31,21.62
3,34.0000,12.08,25.32
3,35.0000,10.59,22.23
3,36.0000,9.11,19.10
3,37.0000,12.82,26.90
3,38.0000,10.13,21.25
3,39.0000,9.75,20.45
3,40.0000,12.33,25.88
3,41.0000,8.21,17.20
3,41.9655,0.52,4.47
3,42.0000,7.96,22.24
3,43.0000,8.61,24.07
3,44.0000,5.33,14.90
3,45.0000,2.55,10.70
3,45.3401,2.18,13.60
3,46.0000,1.74,14.60
3,46.8039,0.80,3.71
3,47.0000,1.36,11.50
3,48.0000,1.43,12.00
3,49.0000,1.86,15.60
3,50.0000,1.49,12.50
3,51.0000,1.31,11.00
3,52.0000,1.74,14.60
3,53.0000,1.74,14.60
3,54.0000,1.18,9.91
3,55.0000,1.93,16.20
3,56.0000,1.99,16.70
3,57.0000,1.24,10.40
3,58.0000,2.18,18.30
3,59.0000,2.62,22.00
3,60.8354,1.28,5.86
4,1.0000,0.42,0.85
4,2.0000,1.44,3.02
4,3.0000,3.73,7.83
4,4.0000,6.46,13.55
4,5.0000,5.60,11.72
4,6.0000,3.58,7.54
4,7.0000,6.66,13.98
4,8.0000,7.41,15.55
4,9.0000,4.46,9.35
4,10.0000,9.55,20.05
4,11.0000,7.57,15.88
4,12.0000,5.04,10.58
4,13.0000,9.29,19.48
4,14.0000,7.35,15.43
4,15.0000,8.78,18.43
4,16.0000,11.27,23.62
4,17.0000,9.97,20.93
4,18.0000,12.35,25.90
4,19.0000,7.67,16.11
4,20.0000,11.27,23.65
4,21.0000,10.52,22.07
