Execution,ID,Interval,Transfer,Bandwidth
0,3,1.0000,0.104,0.849
0,1,1.0000,0.104,0.849
0,2,1.0000,0.104,0.849
0,4,1.0000,0.104,0.849
0,3,2.0000,0.359,3.02
0,4,2.0000,0.484,4.07
0,1,2.0000,0.484,4.07
0,2,2.0000,0.484,4.07
0,4,3.0000,0.808,6.78
0,3,3.0000,0.933,7.83
0,1,3.0000,0.808,6.78
0,2,3.0000,0.808,6.78
0,3,4.0000,1.24,10.4
0,1,4.0000,1.24,10.4
0,2,4.0000,1.24,10.4
0,4,4.0000,2.74,23.0
0,3,5.0000,1.06,8.86
0,1,5.0000,1.06,8.86
0,2,5.0000,1.06,8.86
0,4,5.0000,1.11,9.32
0,3,6.0000,1.12,9.38
0,1,6.0000,1.12,9.38
0,2,6.0000,0.868,7.29
0,4,6.0000,1.68,14.1
0,3,7.0000,0.684,5.73
0,1,7.0000,0.621,5.21
0,2,7.0000,0.871,7.31
0,4,7.0000,1.24,10.4
0,3,8.0000,1.31,11.0
0,1,8.0000,1.37,11.5
0,2,8.0000,1.37,11.5
0,4,8.0000,1.56,13.1
0,3,9.0000,1.43,12.0
0,1,9.0000,1.05,8.84
0,2,9.0000,0.805,6.75
0,4,9.0000,2.11,17.7
0,3,10.0000,0.808,6.78
0,1,10.0000,1.25,10.4
0,2,10.0000,1.50,12.5
0,4,10.0000,1.74,14.6
0,3,11.0000,1.43,12.0
0,1,11.0000,1.37,11.5
0,2,11.0000,1.37,11.5
0,4,11.0000,1.81,15.1
0,4,12.0000,2.74,23.0
0,3,12.0000,1.30,10.9
0,1,12.0000,0.867,7.27
0,2,12.0000,0.805,6.75
0,3,13.0000,0.933,7.83
0,1,13.0000,1.31,11.0
0,2,13.0000,1.37,11.5
0,4,13.0000,2.79,23.4
0,3,14.0000,1.68,14.1
0,1,14.0000,1.87,15.7
0,2,14.0000,1.87,15.7
0,4,14.0000,3.17,26.6
0,3,15.0000,1.55,13.0
0,1,15.0000,1.05,8.84
0,2,15.0000,1.06,8.86
0,4,15.0000,2.05,17.2
0,1,16.0000,2.43,20.4
0,2,16.0000,2.49,20.9
0,4,16.0000,3.54,29.7
0,3,16.0000,3.30,27.7
0,4,17.0000,3.00,25.2
0,3,17.0000,1.74,14.6
0,2,17.0000,2.99,25.0
0,1,17.0000,3.05,25.6
0,2,18.0000,1.74,14.6
0,1,18.0000,1.80,15.1
0,4,18.0000,2.92,24.5
0,3,18.0000,3.20,26.8
0,1,19.0000,2.01,16.8
0,4,19.0000,3.05,25.6
0,3,19.0000,1.96,16.5
0,2,19.0000,2.29,19.3
0,1,20.0000,1.29,10.8
0,4,20.0000,1.28,10.7
0,3,20.0000,1.75,14.7
0,2,20.0000,0.887,7.44
0,3,21.0000,3.50,29.4
0,2,21.0000,3.50,29.4
0,1,21.0000,4.12,34.6
0,4,21.0000,3.96,33.2
0,4,22.0000,2.62,22.0
0,1,22.0000,1.79,15.0
0,2,22.0000,2.96,24.8
0,3,22.0000,3.43,28.8
0,4,23.0000,3.59,30.1
0,3,23.0000,2.45,20.5
0,1,23.0000,1.86,15.6
0,2,23.0000,2.35,19.7
0,3,24.0000,2.62,22.0
0,2,24.0000,2.75,23.1
0,1,24.0000,2.12,17.8
0,4,24.0000,3.51,29.4
0,3,25.0000,1.93,16.2
0,2,25.0000,2.24,18.8
0,4,25.0000,1.20,10.1
0,1,25.0000,1.74,14.6
0,4,26.0000,3.62,30.4
0,3,26.0000,3.69,31.0
0,1,26.0000,1.62,13.6
0,2,26.0000,3.73,31.3
0,1,27.0000,0.927,7.78
0,2,27.0000,2.75,23.1
0,3,27.0000,3.05,25.6
0,4,27.0000,3.37,28.3
0,3,28.0000,2.75,23.1
0,1,28.0000,1.49,12.5
0,4,28.0000,2.75,23.1
0,2,28.0000,3.41,28.6
0,1,29.0000,0.867,7.27
0,2,29.0000,2.23,18.7
0,3,29.0000,3.60,30.2
0,4,29.0000,3.67,30.7
0,3,30.0000,2.35,19.7
0,1,30.0000,1.68,14.1
0,4,30.0000,2.62,22.0
0,2,30.0000,2.75,23.1
0,4,31.0000,2.67,22.4
0,1,31.0000,1.62,13.6
0,3,31.0000,3.85,32.3
0,2,31.0000,3.67,30.8
0,2,32.0000,2.35,19.7
0,1,32.0000,0.994,8.34
0,3,32.0000,2.60,21.8
0,4,32.0000,4.00,33.6
0,4,33.0000,2.67,22.4
0,3,33.0000,2.75,23.1
0,1,33.0000,1.62,13.6
0,2,33.0000,3.85,32.3
0,1,34.0000,0.928,7.78
0,2,34.0000,2.48,20.8
0,4,34.0000,3.60,30.2
0,3,34.0000,4.00,33.5
0,3,35.0000,2.56,21.5
0,1,35.0000,1.68,14.1
0,2,35.0000,2.75,23.1
0,4,35.0000,4.12,34.6
0,3,36.0000,2.63,22.0
0,4,36.0000,2.68,22.5
0,1,36.0000,1.68,14.1
0,2,36.0000,3.85,32.3
0,4,37.0000,2.62,22.0
0,1,37.0000,0.932,7.82
0,2,37.0000,2.42,20.3
0,3,37.0000,4.02,33.7
0,2,38.0000,2.48,20.8
0,4,38.0000,3.62,30.4
0,3,38.0000,2.75,23.1
0,1,38.0000,1.74,14.6
0,2,39.0000,2.74,22.9
0,1,39.0000,0.990,8.30
0,3,39.0000,4.02,33.7
0,4,39.7276,3.16,15.4
0,3,40.0000,2.69,22.5
0,1,40.0000,1.99,16.7
0,2,40.0000,3.93,33.0
0,1,41.0000,2.05,17.2
0,3,41.0000,4.00,33.6
0,2,41.0000,3.95,33.2
0,3,42.0000,2.54,21.3
0,2,42.0000,2.75,23.1
0,1,42.0000,1.49,12.5
0,1,43.0000,2.68,22.5
0,2,43.0000,3.91,32.8
0,3,43.8128,4.32,20.0
0,2,44.0000,3.94,33.1
0,1,44.0000,1.79,15.0
0,2,44.7148,0.284,3.34
0,1,45.0000,3.42,28.7
0,1,46.0000,3.73,31.3
0,1,47.0000,3.71,31.1
0,1,48.0000,3.88,32.5
0,1,49.0000,3.62,30.4
0,1,50.0000,5.81,48.7
0,1,51.0000,3.52,29.5
0,1,52.6163,5.78,30.0
1,2,1.0000,0.104,0.849
1,1,1.0000,0.104,0.849
1,4,1.0000,0.104,0.849
1,3,1.0000,0.104,0.849
1,2,2.0000,0.359,3.02
1,1,2.0000,0.359,3.02
1,4,2.0000,0.484,4.07
1,3,2.0000,0.484,4.07
1,2,3.0000,0.933,7.83
1,1,3.0000,0.933,7.83
1,4,3.0000,0.808,6.78
1,3,3.0000,0.808,6.78
1,1,4.0000,1.24,10.4
1,4,4.0000,1.24,10.4
1,3,4.0000,1.24,10.4
1,2,4.0000,2.74,23.0
1,1,5.0000,1.06,8.86
1,4,5.0000,1.06,8.86
1,3,5.0000,1.06,8.86
1,2,5.0000,1.11,9.32
1,1,6.0000,1.12,9.38
1,4,6.0000,1.12,9.38
1,3,6.0000,0.868,7.29
1,2,6.0000,1.68,14.1
1,1,7.0000,0.684,5.73
1,4,7.0000,0.621,5.21
1,3,7.0000,0.871,7.31
1,2,7.0000,1.30,10.9
1,1,8.0000,1.31,11.0
1,4,8.0000,1.37,11.5
1,3,8.0000,1.37,11.5
1,2,8.0000,1.49,12.5
1,1,9.0000,1.43,12.0
1,4,9.0000,1.18,9.89
1,3,9.0000,0.805,6.75
1,2,9.0000,2.11,17.7
1,1,10.0000,0.808,6.78
1,4,10.0000,1.12,9.40
1,3,10.0000,1.50,12.5
1,2,10.0000,1.67,14.1
1,1,11.0000,1.43,12.0
1,4,11.0000,1.37,11.5
1,3,11.0000,1.37,11.5
1,2,11.0000,1.87,15.7
1,1,12.0000,1.24,10.4
1,4,12.0000,0.805,6.75
1,2,12.0000,2.67,22.4
1,3,12.0000,0.805,6.75
1,1,13.0000,0.995,8.35
1,4,13.0000,1.37,11.5
1,2,13.0000,1.80,15.1
1,3,13.0000,1.37,11.5
1,1,14.0000,1.68,14.1
1,4,14.0000,1.87,15.7
1,3,14.0000,1.87,15.7
1,2,14.0000,3.29,27.6
1,2,15.0000,2.56,21.5
1,1,15.0000,1.61,13.5
1,4,15.0000,0.990,8.31
1,3,15.0000,1.06,8.86
1,4,16.0000,2.49,20.9
1,1,16.0000,1.87,15.7
1,3,16.0000,2.49,20.9
1,2,16.0000,3.61,30.3
1,1,17.0000,2.74,23.0
1,2,17.0000,3.10,26.0
1,4,17.0000,3.05,25.6
1,3,17.0000,3.05,25.6
1,3,18.0000,1.68,14.1
1,4,18.0000,1.76,14.8
1,2,18.0000,2.97,24.9
1,1,18.0000,3.58,30.1
1,4,19.0000,2.06,17.3
1,2,19.0000,3.05,25.5
