ID,Interval,Transfer,Bandwidth
0,1.0,0.104,0.849
0,2.0,0.359,2.949
0,3.0,0.933,7.648
0,4.0,2.740,23.000
0,5.0,2.420,20.300
0,6.0,1.670,14.000
0,7.0,3.360,28.200
0,8.0,3.360,28.200
0,9.0,2.290,19.200
0,10.0,4.750,39.800
0,11.0,3.800,31.900
0,12.0,2.500,21.000
0,13.0,5.000,41.900
0,14.0,3.750,31.500
0,15.0,3.620,30.400
0,16.0,5.000,41.900
0,17.0,2.880,24.100
0,18.0,6.630,55.600
0,19.0,3.560,29.900
0,20.0,6.060,50.800
0,21.0,6.700,56.200
0,22.0,4.570,38.300
0,23.0,4.570,38.300
0,24.0,6.850,57.500
0,25.0,6.840,57.400
0,26.0,4.620,38.800
0,26.9,1.040,9.320
1,1.0,0.104,0.849
1,2.0,0.359,2.949
1,3.0,0.933,7.648
1,4.0,2.740,23.000
1,5.0,2.420,20.300
1,6.0,1.670,14.000
1,7.0,3.360,28.200
1,8.0,3.360,28.200
1,9.0,2.290,19.200
1,10.0,4.820,40.400
1,11.0,3.720,31.200
1,12.0,2.500,21.000
1,13.0,5.000,41.900
1,14.0,3.750,31.500
1,15.0,3.620,30.400
1,16.0,5.000,41.900
1,17.0,2.880,24.100
1,18.0,6.650,55.800
1,19.0,3.520,29.500
1,20.0,5.920,49.700
1,21.0,6.760,56.700
1,22.0,4.530,38.000
1,23.0,6.750,56.600
1,24.0,4.420,37.100
1,25.0,6.790,57.000
1,26.0,3.590,30.100
1,27.0,2.530,20.700
2,1.0,0.104,0.849
2,2.0,0.484,3.977
2,3.0,0.808,6.621
2,4.0,2.740,23.000
2,5.0,2.420,20.300
2,6.0,1.740,14.600
2,7.0,3.300,27.700
2,8.0,3.300,27.700
2,9.0,2.230,18.700
2,10.0,4.950,41.500
2,11.0,3.770,31.600
2,12.0,2.470,20.700
2,13.0,5.000,41.900
2,14.0,3.750,31.500
2,15.0,3.620,30.400
2,16.0,5.000,41.900
2,17.0,2.760,23.200
2,18.0,6.390,53.600
2,19.0,3.520,29.500
2,20.0,5.860,49.100
2,21.0,6.570,55.200
2,22.0,4.620,38.700
2,23.0,6.850,57.500
2,24.0,4.570,38.300
2,25.0,6.810,57.100
2,26.0,4.540,38.100
2,26.9,1.810,16.500
3,1.0,0.104,0.849
3,2.0,0.484,3.977
3,3.0,0.808,6.621
3,4.0,2.740,23.000
3,5.0,2.420,20.300
3,6.0,1.670,14.000
3,7.0,3.360,28.200
3,8.0,3.360,28.200
3,9.0,2.290,19.200
3,10.0,4.810,40.400
3,11.0,3.720,31.200
3,12.0,2.500,21.000
3,13.0,5.000,41.900
3,14.0,3.750,31.500
3,15.0,3.620,30.400
3,16.0,5.000,41.900
3,17.0,2.880,24.100
3,18.0,6.650,55.700
3,19.0,3.650,30.600
3,20.0,5.930,49.800
