Execution,ID,Interval,Transfer,Bandwidth
0,1,1.0000,3.88,32.5
0,4,1.0000,4.50,37.7
0,3,1.0000,4.50,37.7
0,2,1.0000,4.75,39.8
0,2,2.0000,2.38,19.9
0,1,2.0000,3.25,27.3
0,3,2.0000,3.38,28.3
0,4,2.0000,3.62,30.4
0,1,3.0000,2.75,23.1
0,4,3.0000,2.68,22.5
0,3,3.0000,2.75,23.1
0,2,3.0000,3.68,30.8
0,4,4.0000,2.30,19.3
0,3,4.0000,2.48,20.8
0,2,4.0000,2.62,22.0
0,1,4.0000,3.71,31.1
0,4,5.0000,2.67,22.4
0,3,5.0000,2.91,24.4
0,2,5.0000,2.23,18.7
0,1,5.0000,2.10,17.7
0,4,6.0000,3.49,29.3
0,2,6.0000,2.56,21.4
0,1,6.0000,2.62,22.0
0,3,6.0000,3.30,27.7
0,4,7.0000,2.60,21.8
0,2,7.0000,2.55,21.4
0,1,7.0000,2.55,21.4
0,3,7.0000,2.55,21.4
0,4,8.0000,2.75,23.1
0,2,8.0000,2.60,21.8
0,1,8.0000,2.61,21.9
0,3,8.0000,2.75,23.1
0,4,9.0000,2.47,20.7
0,2,9.0000,2.61,21.9
0,1,9.0000,2.54,21.3
0,3,9.0000,2.47,20.7
0,2,10.0000,2.56,21.4
0,1,10.0000,2.56,21.4
0,3,10.0000,2.75,23.1
0,4,10.0000,4.12,34.6
0,2,11.0000,2.60,21.8
0,1,11.0000,2.60,21.8
0,3,11.0000,2.53,21.2
0,4,11.0000,2.65,22.2
0,2,12.0000,2.62,22.0
0,1,12.0000,2.62,22.0
0,3,12.0000,2.55,21.4
0,4,12.0000,2.55,21.4
0,2,13.0000,2.75,23.1
0,1,13.0000,2.75,23.1
0,3,13.0000,2.75,23.1
0,4,13.0000,2.75,23.1
0,2,14.0000,2.34,19.6
0,1,14.0000,2.34,19.6
0,3,14.0000,2.53,21.2
0,4,14.0000,2.75,23.1
0,1,15.0000,2.75,23.1
0,3,15.0000,2.74,23.0
0,4,15.0000,2.51,21.0
0,2,15.0000,4.12,34.6
0,1,16.0000,2.66,22.3
0,3,16.0000,2.75,23.1
0,4,16.0000,2.74,23.0
0,2,16.0000,2.59,21.7
0,1,17.0000,2.55,21.4
0,3,17.0000,2.75,23.1
0,4,17.0000,2.75,23.1
0,2,17.0000,2.55,21.4
0,4,18.0000,2.52,21.2
0,3,18.0000,2.63,22.1
0,2,18.0000,2.75,23.1
0,1,18.0000,3.98,33.4
0,4,19.0000,3.86,32.4
0,2,19.0000,2.29,19.2
0,1,19.0000,2.42,20.3
0,3,19.0000,3.74,31.3
0,4,20.0000,2.35,19.7
0,2,20.0000,2.73,22.9
0,3,20.0000,2.42,20.3
0,1,20.0000,2.73,22.9
0,4,21.0000,2.75,23.1
0,2,21.0000,2.55,21.4
0,3,21.0000,2.75,23.1
0,1,21.0000,2.55,21.4
0,4,22.0000,2.72,22.8
0,1,22.0000,2.68,22.5
0,2,22.0000,2.75,23.1
0,3,22.0000,2.52,21.2
0,4,23.0000,2.55,21.4
0,3,23.0000,2.68,22.5
0,2,23.0000,2.41,20.2
0,1,23.0000,2.35,19.7
0,4,24.0000,2.56,21.4
0,3,24.0000,2.05,17.2
0,2,24.0000,2.24,18.8
0,1,24.0000,2.24,18.8
0,3,25.0000,2.49,20.9
0,2,25.0000,2.61,21.9
0,1,25.0000,2.74,23.0
0,4,25.0000,3.98,33.4
0,3,26.0000,2.73,22.9
0,2,26.0000,2.73,22.9
0,1,26.0000,2.66,22.3
0,4,26.0000,2.66,22.3
0,3,27.0000,2.42,20.3
0,2,27.0000,2.36,19.8
0,1,27.0000,2.42,20.3
0,4,27.0000,2.61,21.9
0,2,28.0000,2.75,23.1
0,1,28.0000,2.75,23.1
0,4,28.0000,2.68,22.5
0,3,28.0000,4.11,34.5
0,2,29.0000,2.73,22.9
0,1,29.0000,2.73,22.9
0,4,29.0000,2.75,23.1
0,3,29.0000,2.75,23.1
0,2,30.0000,2.73,22.9
0,1,30.0000,2.75,23.1
0,4,30.0000,2.75,23.1
0,3,30.0000,2.75,23.1
0,1,31.0000,2.52,21.2
0,2,31.0000,2.61,21.9
0,4,31.0000,2.75,23.1
0,3,31.0000,2.62,22.0
0,2,32.0000,2.55,21.4
0,1,32.0000,2.67,22.4
0,4,32.0000,2.75,23.1
0,3,32.0000,2.68,22.5
0,2,33.0000,2.68,22.5
0,1,33.0000,2.61,21.9
0,4,33.0000,2.75,23.1
0,3,33.0000,2.61,21.9
0,1,34.0000,2.67,22.4
0,2,34.0000,2.66,22.3
0,4,34.0000,2.75,23.1
0,3,34.0000,2.67,22.4
0,2,35.0000,2.67,22.4
0,3,35.0000,2.61,21.9
0,1,35.0000,4.05,33.9
0,2,36.0000,2.68,22.5
0,4,36.0830,2.35,9.45
0,1,36.0000,2.42,20.3
0,3,36.7428,2.33,11.2
0,1,37.1766,1.22,8.73
0,2,37.1926,2.44,17.2
1,4,1.0000,4.50,37.7
1,1,1.0000,4.38,36.7
1,2,1.0000,4.38,36.7
1,3,1.0000,4.63,38.8
1,1,2.0000,3.38,28.3
1,2,2.0000,3.38,28.3
1,4,2.0000,3.62,30.4
1,3,2.0000,3.38,28.3
1,4,3.0000,2.68,22.5
1,1,3.0000,2.75,23.1
1,2,3.0000,2.74,23.0
1,3,3.0000,2.61,21.9
1,4,4.0000,2.36,19.8
1,1,4.0000,2.41,20.3
1,2,4.0000,2.55,21.4
1,3,4.0000,2.48,20.8
1,4,5.0000,2.67,22.4
1,1,5.0000,2.67,22.4
1,2,5.0000,2.55,21.4
1,3,5.0000,2.49,20.9
1,3,6.0000,2.37,19.9
1,4,6.0000,4.18,35.1
1,1,6.0000,3.42,28.7
1,2,6.0000,3.29,27.6
1,3,7.0000,2.48,20.8
1,4,7.0000,4.12,34.6
1,1,7.0000,2.36,19.8
1,2,7.0000,2.11,17.7
1,4,8.0000,2.75,23.1
1,3,8.0000,2.30,19.3
1,1,8.0000,2.36,19.8
1,2,8.0000,2.61,21.9
1,2,9.0000,1.18,9.90
1,4,9.0000,4.12,34.6
1,3,9.0000,2.24,18.8
1,1,9.0000,2.36,19.8
1,2,10.0000,2.36,19.8
1,4,10.0000,4.12,34.6
