Execution,ID,Interval,Transfer,Bandwidth
0,1,1.0000,3.88 MBytes,32.5 Mbits/sec
0,4,1.0000,4.50 MBytes,37.7 Mbits/sec
0,3,1.0000,4.50 MBytes,37.7 Mbits/sec
0,2,1.0000,4.75 MBytes,39.8 Mbits/sec
0,2,2.0000,2.38 MBytes,19.9 Mbits/sec
0,1,2.0000,3.25 MBytes,27.3 Mbits/sec
0,3,2.0000,3.38 MBytes,28.3 Mbits/sec
0,4,2.0000,3.62 MBytes,30.4 Mbits/sec
0,1,3.0000,2.75 MBytes,23.1 Mbits/sec
0,4,3.0000,2.68 MBytes,22.5 Mbits/sec
0,3,3.0000,2.75 MBytes,23.1 Mbits/sec
0,2,3.0000,3.68 MBytes,30.8 Mbits/sec
0,4,4.0000,2.30 MBytes,19.3 Mbits/sec
0,3,4.0000,2.48 MBytes,20.8 Mbits/sec
0,2,4.0000,2.62 MBytes,22.0 Mbits/sec
0,1,4.0000,3.71 MBytes,31.1 Mbits/sec
0,4,5.0000,2.67 MBytes,22.4 Mbits/sec
0,3,5.0000,2.91 MBytes,24.4 Mbits/sec
0,2,5.0000,2.23 MBytes,18.7 Mbits/sec
0,1,5.0000,2.10 MBytes,17.7 Mbits/sec
0,4,6.0000,3.49 MBytes,29.3 Mbits/sec
0,2,6.0000,2.56 MBytes,21.4 Mbits/sec
0,1,6.0000,2.62 MBytes,22.0 Mbits/sec
0,3,6.0000,3.30 MBytes,27.7 Mbits/sec
0,4,7.0000,2.60 MBytes,21.8 Mbits/sec
0,2,7.0000,2.55 MBytes,21.4 Mbits/sec
0,1,7.0000,2.55 MBytes,21.4 Mbits/sec
0,3,7.0000,2.55 MBytes,21.4 Mbits/sec
0,4,8.0000,2.75 MBytes,23.1 Mbits/sec
0,2,8.0000,2.60 MBytes,21.8 Mbits/sec
0,1,8.0000,2.61 MBytes,21.9 Mbits/sec
0,3,8.0000,2.75 MBytes,23.1 Mbits/sec
0,4,9.0000,2.47 MBytes,20.7 Mbits/sec
0,2,9.0000,2.61 MBytes,21.9 Mbits/sec
0,1,9.0000,2.54 MBytes,21.3 Mbits/sec
0,3,9.0000,2.47 MBytes,20.7 Mbits/sec
0,2,10.0000,2.56 MBytes,21.4 Mbits/sec
0,1,10.0000,2.56 MBytes,21.4 Mbits/sec
0,3,10.0000,2.75 MBytes,23.1 Mbits/sec
0,4,10.0000,4.12 MBytes,34.6 Mbits/sec
0,2,11.0000,2.60 MBytes,21.8 Mbits/sec
0,1,11.0000,2.60 MBytes,21.8 Mbits/sec
0,3,11.0000,2.53 MBytes,21.2 Mbits/sec
0,4,11.0000,2.65 MBytes,22.2 Mbits/sec
0,2,12.0000,2.62 MBytes,22.0 Mbits/sec
0,1,12.0000,2.62 MBytes,22.0 Mbits/sec
0,3,12.0000,2.55 MBytes,21.4 Mbits/sec
0,4,12.0000,2.55 MBytes,21.4 Mbits/sec
0,2,13.0000,2.75 MBytes,23.1 Mbits/sec
0,1,13.0000,2.75 MBytes,23.1 Mbits/sec
0,3,13.0000,2.75 MBytes,23.1 Mbits/sec
0,4,13.0000,2.75 MBytes,23.1 Mbits/sec
0,2,14.0000,2.34 MBytes,19.6 Mbits/sec
0,1,14.0000,2.34 MBytes,19.6 Mbits/sec
0,3,14.0000,2.53 MBytes,21.2 Mbits/sec
0,4,14.0000,2.75 MBytes,23.1 Mbits/sec
0,1,15.0000,2.75 MBytes,23.1 Mbits/sec
0,3,15.0000,2.74 MBytes,23.0 Mbits/sec
0,4,15.0000,2.51 MBytes,21.0 Mbits/sec
0,2,15.0000,4.12 MBytes,34.6 Mbits/sec
0,1,16.0000,2.66 MBytes,22.3 Mbits/sec
0,3,16.0000,2.75 MBytes,23.1 Mbits/sec
0,4,16.0000,2.74 MBytes,23.0 Mbits/sec
0,2,16.0000,2.59 MBytes,21.7 Mbits/sec
0,1,17.0000,2.55 MBytes,21.4 Mbits/sec
0,3,17.0000,2.75 MBytes,23.1 Mbits/sec
0,4,17.0000,2.75 MBytes,23.1 Mbits/sec
0,2,17.0000,2.55 MBytes,21.4 Mbits/sec
0,4,18.0000,2.52 MBytes,21.2 Mbits/sec
0,3,18.0000,2.63 MBytes,22.1 Mbits/sec
0,2,18.0000,2.75 MBytes,23.1 Mbits/sec
0,1,18.0000,3.98 MBytes,33.4 Mbits/sec
0,4,19.0000,3.86 MBytes,32.4 Mbits/sec
0,2,19.0000,2.29 MBytes,19.2 Mbits/sec
0,1,19.0000,2.42 MBytes,20.3 Mbits/sec
0,3,19.0000,3.74 MBytes,31.3 Mbits/sec
0,4,20.0000,2.35 MBytes,19.7 Mbits/sec
0,2,20.0000,2.73 MBytes,22.9 Mbits/sec
0,3,20.0000,2.42 MBytes,20.3 Mbits/sec
0,1,20.0000,2.73 MBytes,22.9 Mbits/sec
0,4,21.0000,2.75 MBytes,23.1 Mbits/sec
0,2,21.0000,2.55 MBytes,21.4 Mbits/sec
0,3,21.0000,2.75 MBytes,23.1 Mbits/sec
0,1,21.0000,2.55 MBytes,21.4 Mbits/sec
0,4,22.0000,2.72 MBytes,22.8 Mbits/sec
0,1,22.0000,2.68 MBytes,22.5 Mbits/sec
0,2,22.0000,2.75 MBytes,23.1 Mbits/sec
0,3,22.0000,2.52 MBytes,21.2 Mbits/sec
0,4,23.0000,2.55 MBytes,21.4 Mbits/sec
0,3,23.0000,2.68 MBytes,22.5 Mbits/sec
0,2,23.0000,2.41 MBytes,20.2 Mbits/sec
0,1,23.0000,2.35 MBytes,19.7 Mbits/sec
0,4,24.0000,2.56 MBytes,21.4 Mbits/sec
0,3,24.0000,2.05 MBytes,17.2 Mbits/sec
0,2,24.0000,2.24 MBytes,18.8 Mbits/sec
0,1,24.0000,2.24 MBytes,18.8 Mbits/sec
0,3,25.0000,2.49 MBytes,20.9 Mbits/sec
0,2,25.0000,2.61 MBytes,21.9 Mbits/sec
0,1,25.0000,2.74 MBytes,23.0 Mbits/sec
0,4,25.0000,3.98 MBytes,33.4 Mbits/sec
0,3,26.0000,2.73 MBytes,22.9 Mbits/sec
0,2,26.0000,2.73 MBytes,22.9 Mbits/sec
0,1,26.0000,2.66 MBytes,22.3 Mbits/sec
0,4,26.0000,2.66 MBytes,22.3 Mbits/sec
0,3,27.0000,2.42 MBytes,20.3 Mbits/sec
0,2,27.0000,2.36 MBytes,19.8 Mbits/sec
0,1,27.0000,2.42 MBytes,20.3 Mbits/sec
0,4,27.0000,2.61 MBytes,21.9 Mbits/sec
0,2,28.0000,2.75 MBytes,23.1 Mbits/sec
0,1,28.0000,2.75 MBytes,23.1 Mbits/sec
0,4,28.0000,2.68 MBytes,22.5 Mbits/sec
0,3,28.0000,4.11 MBytes,34.5 Mbits/sec
0,2,29.0000,2.73 MBytes,22.9 Mbits/sec
0,1,29.0000,2.73 MBytes,22.9 Mbits/sec
0,4,29.0000,2.75 MBytes,23.1 Mbits/sec
0,3,29.0000,2.75 MBytes,23.1 Mbits/sec
0,2,30.0000,2.73 MBytes,22.9 Mbits/sec
0,1,30.0000,2.75 MBytes,23.1 Mbits/sec
0,4,30.0000,2.75 MBytes,23.1 Mbits/sec
0,3,30.0000,2.75 MBytes,23.1 Mbits/sec
0,1,31.0000,2.52 MBytes,21.2 Mbits/sec
0,2,31.0000,2.61 MBytes,21.9 Mbits/sec
0,4,31.0000,2.75 MBytes,23.1 Mbits/sec
