Execution,ID,Interval,Transfer,Bandwidth
0,[3],0.0000-1.0000,106 KBytes,869 Kbits/sec
0,[1],0.0000-1.0000,106 KBytes,869 Kbits/sec
0,[2],0.0000-1.0000,106 KBytes,869 Kbits/sec
0,[4],0.0000-1.0000,106 KBytes,869 Kbits/sec
0,[3],1.0000-2.0000,368 KBytes,3.02 Mbits/sec
0,[4],1.0000-2.0000,496 KBytes,4.07 Mbits/sec
0,[1],1.0000-2.0000,496 KBytes,4.07 Mbits/sec
0,[2],1.0000-2.0000,496 KBytes,4.07 Mbits/sec
0,[4],2.0000-3.0000,827 KBytes,6.78 Mbits/sec
0,[3],2.0000-3.0000,955 KBytes,7.83 Mbits/sec
0,[1],2.0000-3.0000,827 KBytes,6.78 Mbits/sec
0,[2],2.0000-3.0000,827 KBytes,6.78 Mbits/sec
0,[3],3.0000-4.0000,1.24 MBytes,10.4 Mbits/sec
0,[1],3.0000-4.0000,1.24 MBytes,10.4 Mbits/sec
0,[2],3.0000-4.0000,1.24 MBytes,10.4 Mbits/sec
0,[4],3.0000-4.0000,2.74 MBytes,23.0 Mbits/sec
0,[3],4.0000-5.0000,1.06 MBytes,8.86 Mbits/sec
0,[1],4.0000-5.0000,1.06 MBytes,8.86 Mbits/sec
0,[2],4.0000-5.0000,1.06 MBytes,8.86 Mbits/sec
0,[4],4.0000-5.0000,1.11 MBytes,9.32 Mbits/sec
0,[3],5.0000-6.0000,1.12 MBytes,9.38 Mbits/sec
0,[1],5.0000-6.0000,1.12 MBytes,9.38 Mbits/sec
0,[2],5.0000-6.0000,889 KBytes,7.29 Mbits/sec
0,[4],5.0000-6.0000,1.68 MBytes,14.1 Mbits/sec
0,[3],6.0000-7.0000,700 KBytes,5.73 Mbits/sec
0,[1],6.0000-7.0000,636 KBytes,5.21 Mbits/sec
0,[2],6.0000-7.0000,892 KBytes,7.31 Mbits/sec
0,[4],6.0000-7.0000,1.24 MBytes,10.4 Mbits/sec
0,[3],7.0000-8.0000,1.31 MBytes,11.0 Mbits/sec
0,[1],7.0000-8.0000,1.37 MBytes,11.5 Mbits/sec
0,[2],7.0000-8.0000,1.37 MBytes,11.5 Mbits/sec
0,[4],7.0000-8.0000,1.56 MBytes,13.1 Mbits/sec
0,[3],8.0000-9.0000,1.43 MBytes,12.0 Mbits/sec
0,[1],8.0000-9.0000,1.05 MBytes,8.84 Mbits/sec
0,[2],8.0000-9.0000,824 KBytes,6.75 Mbits/sec
0,[4],8.0000-9.0000,2.11 MBytes,17.7 Mbits/sec
0,[3],9.0000-10.0000,827 KBytes,6.78 Mbits/sec
0,[1],9.0000-10.0000,1.25 MBytes,10.4 Mbits/sec
0,[2],9.0000-10.0000,1.50 MBytes,12.5 Mbits/sec
0,[4],9.0000-10.0000,1.74 MBytes,14.6 Mbits/sec
0,[3],10.0000-11.0000,1.43 MBytes,12.0 Mbits/sec
0,[1],10.0000-11.0000,1.37 MBytes,11.5 Mbits/sec
0,[2],10.0000-11.0000,1.37 MBytes,11.5 Mbits/sec
0,[4],10.0000-11.0000,1.81 MBytes,15.1 Mbits/sec
0,[4],11.0000-12.0000,2.74 MBytes,23.0 Mbits/sec
0,[3],11.0000-12.0000,1.30 MBytes,10.9 Mbits/sec
0,[1],11.0000-12.0000,888 KBytes,7.27 Mbits/sec
0,[2],11.0000-12.0000,824 KBytes,6.75 Mbits/sec
0,[3],12.0000-13.0000,955 KBytes,7.83 Mbits/sec
0,[1],12.0000-13.0000,1.31 MBytes,11.0 Mbits/sec
0,[2],12.0000-13.0000,1.37 MBytes,11.5 Mbits/sec
0,[4],12.0000-13.0000,2.79 MBytes,23.4 Mbits/sec
0,[3],13.0000-14.0000,1.68 MBytes,14.1 Mbits/sec
0,[1],13.0000-14.0000,1.87 MBytes,15.7 Mbits/sec
0,[2],13.0000-14.0000,1.87 MBytes,15.7 Mbits/sec
0,[4],13.0000-14.0000,3.17 MBytes,26.6 Mbits/sec
0,[3],14.0000-15.0000,1.55 MBytes,13.0 Mbits/sec
0,[1],14.0000-15.0000,1.05 MBytes,8.84 Mbits/sec
0,[2],14.0000-15.0000,1.06 MBytes,8.86 Mbits/sec
0,[4],14.0000-15.0000,2.05 MBytes,17.2 Mbits/sec
